idVariavelAleatoria;idVariavelAleatoriaInterna;AttMatriz;Iteradores;02/2019;03/2019;04/2019;05/2019;06/2019;07/2019;08/2019;09/2019;10/2019;11/2019;12/2019
109;1;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
110;1;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
111;1;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
112;1;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
113;1;tendencia_temporal;1;24;27;18;25;13;11;10;8;8;10;9
114;1;tendencia_temporal;1;10;13;9;11;6;5;4;4;3;4;5
115;1;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
116;1;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
117;1;tendencia_temporal;1;0;0;0;0;0;0;0;0;0;0;0
118;1;tendencia_temporal;1;6;190;117;19;11;25;32;14;6;7;6
119;1;tendencia_temporal;1;424;530;630;345;259;238;195;189;207;192;215
120;1;tendencia_temporal;1;61;76;51;37;27;21;18;14;15;44;68
121;1;tendencia_temporal;1;4;3;3;2;1;1;1;1;1;2;6
122;1;tendencia_temporal;1;89;84;94;83;72;67;66;66;69;77;81
123;1;tendencia_temporal;1;40;41;44;40;34;33;32;31;34;37;38
124;1;tendencia_temporal;1;19;30;34;23;14;11;8;5;4;9;20
125;1;tendencia_temporal;1;1608;1259;1759;2852;1910;1308;972;520;315;329;583
126;1;tendencia_temporal;1;100;111;78;100;154;44;23;37;66;116;45
127;1;tendencia_temporal;1;31;29;30;22;14;12;10;8;9;46;52
128;1;tendencia_temporal;1;1436;1693;1391;889;636;519;473;395;491;594;836
129;1;tendencia_temporal;1;51;116;98;47;44;25;2;20;67;64;81
130;1;tendencia_temporal;1;1694;2992;3235;1518;620;304;136;63;188;484;1264
131;1;tendencia_temporal;1;4;18;41;33;15;4;3;1;-1;-4;9
132;1;tendencia_temporal;1;17;27;20;18;13;11;11;10;8;9;15
133;1;tendencia_temporal;1;4;6;4;3;4;4;3;2;2;1;5
134;1;tendencia_temporal;1;508;862;939;418;258;182;140;94;114;191;270
135;1;tendencia_temporal;1;47;113;105;42;20;12;10;11;12;18;26
136;1;tendencia_temporal;1;42;105;112;44;21;13;10;11;11;16;26
137;1;tendencia_temporal;1;389;897;791;311;151;94;72;88;97;146;191
138;1;tendencia_temporal;1;364;838;947;373;176;106;80;90;99;133;229
139;1;tendencia_temporal;1;227;252;226;185;135;120;112;94;104;119;196
140;1;tendencia_temporal;1;1578;2519;3398;1439;790;598;478;390;597;627;729
141;1;tendencia_temporal;1;262;394;535;413;269;188;145;111;129;139;133
