idVariavelAleatoria;AttMatriz;Iteradores;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1;residuo_espaco_amostral;06/01/2022;103.9983241;129.1723718;-124.876009;-122.4306686;482.0868182;3.704939449;83.27679464;-165.727641;-31.9747544;194.3409662;279.1850243;366.3378319;11.6324369;-228.5564624;15.88348306;-108.1823841;468.4764057;493.1776743;165.7943719;1141.03888
1;residuo_espaco_amostral;07/01/2022;439.8612078;401.7115224;265.8223852;507.5379181;397.8299477;574.100511;708.1163491;358.921723;395.470003;309.1618911;420.7221362;76.28642494;560.9423174;122.2444076;510.4773199;327.4931565;270.2548019;322.6749856;626.5720731;395.2009837
1;residuo_espaco_amostral;08/01/2022;151.1324639;337.2923189;314.2919481;141.5526058;325.0542841;108.2519636;169.1076221;278.5802885;289.7535429;246.1573635;176.7648324;197.2749106;171.3025817;106.7794771;193.1590688;113.0816984;384.5327176;238.1441201;184.8529458;115.9259102
1;residuo_espaco_amostral;09/01/2022;-207.1988039;-263.874049;-411.8572874;-523.2575708;-416.0935202;-526.6991147;-231.2978512;-499.335516;-610.2927713;-484.8438951;-309.5824248;-580.217032;-264.4561639;-364.0681433;23.9274463;-390.6416939;-481.6508409;-343.6590173;-571.6321678;-275.663324
1;residuo_espaco_amostral;10/01/2022;-70.84229989;24.41030232;191.2380166;397.7456268;-233.941543;-151.2707667;13.59456407;674.2489644;108.1741428;157.4756854;-9.173898738;-56.4972265;-40.44344035;96.46183319;833.6298036;36.56179786;673.9462122;-38.07524316;141.3264197;-48.24819071
1;residuo_espaco_amostral;11/01/2022;988.1232869;253.7328715;238.4186396;285.2917245;374.7470779;616.9644223;886.2945212;503.4582549;753.86487;964.0980798;952.4163332;835.7964228;519.521753;974.315876;244.8824582;872.9994281;785.1821437;406.861436;479.4466928;728.6670886
1;residuo_espaco_amostral;12/01/2022;1194.594435;817.3621602;302.0383505;1069.905971;1014.994856;787.036591;769.5998993;1426.234391;1435.192001;2168.543596;1468.239287;443.537478;444.5924088;109.0406517;1749.336335;670.4299759;302.5798292;1122.137331;1124.806727;2152.952047
1;residuo_espaco_amostral;01/01/2023;2659.099262;-346.2463833;959.3732001;4324.380612;1354.78861;529.2557835;-822.8395313;1601.48672;-39.08268358;978.5426719;1721.306946;99.19624579;1613.313141;-83.45238158;2044.425205;949.8260563;1408.400802;599.2214851;-347.5909241;2022.910002
1;residuo_espaco_amostral;02/01/2023;2012.531034;1057.398753;1785.002061;1039.13804;2726.286507;-103.1034965;2397.576197;1326.166522;3340.936214;3011.523195;631.0524366;690.8888455;792.1621551;747.7546421;2899.102956;3335.226332;523.6220803;1665.91765;934.4400192;3605.507921
1;residuo_espaco_amostral;03/01/2023;1600.185282;3002.541549;2129.382993;1545.918845;4631.092405;1547.109875;1388.985805;1485.779525;474.2256434;1697.675503;843.3426251;1996.693132;1467.259119;3362.166383;656.7247477;1403.22725;1449.684931;853.805109;2415.472351;2676.557616
